NaCl,,,,,,,,,,,,
RFU,1,2,3,4,5,6,7,8,9,10,11,12
A,76.365,112.95,96.065,96.035,92.7,92.795,82.95,72.78,74.91,90.935,64.225,77.33
B,89.105,81.5,81.3,115.88,79.14,86.55,120.4,117.81,112.38,111.105,121.25,110.05
C,122.675,145.8,175.75,168.5,124.56,124.86,150.15,151,177.7,129.7,177.1,190.75
D,53.86,62.24,62.74,67.4,55.64,65.48,66.59,62.2,60.76,50.04,60.39,70.92
E,86.165,78.1,139.75,91.61,133.3,181.55,126.2,192.4,146.55,104.135,109.6,114.39
F,90.07,66.72,80.295,72.785,79.895,78.14,75.49,77.755,69.97,66.355,65.445,74.57
G,136.3,72.175,74.1,67.02,62.67,114.65,95.29,83.505,124.95,79.215,41.59,37.92
H,65.625,58.76,64.545,,,,,,,,,
,,,,,,,,,,,,
KCl,,,,,,,,,,,,
RFU,1,2,3,4,5,6,7,8,9,10,11,12
A,131.9,134.05,174.7,152.7,146.65,158.05,133.3,152.9,147.55,134.55,147.1,154.5
B,87.68,135.1,134.95,88.965,128.6,83.5,121.25,137.4,147.5,116.45,137.15,109.5
C,94.52,116.15,158.95,152.25,91.035,82.31,103.835,118.35,132.65,105.9,126.4,125.1
D,54.135,64.96,73.23,73.505,58.155,64.17,74.675,68.63,66.41,61.92,78.27,71.525
E,93.91,88.67,172.4,96.04,116.84,151.75,107.36,205.5,116.845,100.23,112.775,107.275
F,147.35,130.4,143.7,100.845,120.55,133.9,107.95,121.05,115.75,116.85,109.85,110.95
G,171.7,129.45,160.65,173.7,101.035,124.8,88.795,83.87,113.345,82.36,54.55,52.44
H,146.5,70.515,72.525,,,,,,,,,